################################## 
## Start: "generate_grid" function 
################################## 
########################### 
###### Landscape 2 ####### 
########################### 
Verbosity level:   1.00 
       i           x               G 
     389  0.030000   0.860000   0.795135   
     390  0.030000   0.870000   0.805770   
     391  0.030000   0.880000   0.813448   
     392  0.030000   0.890000   0.818310   
     393  0.030000   0.900000   0.820488   
     394  0.030000   0.910000   0.820106   
     395  0.030000   0.920000   0.817284   
     396  0.030000   0.930000   0.812141   
     397  0.030000   0.940000   0.804792   
     398  0.030000   0.950000   0.795356   
     399  0.030000   0.960000   0.783952   
     400  0.030000   0.970000   0.770706   
     401  0.030000   0.980000   0.755746   
     402  0.030000   0.990000   0.739208   
     403  0.030000   1.000000   0.721232   
     404  0.040000   0.000000   -0.333779   
     405  0.040000   0.010000   -0.335573   
     406  0.040000   0.020000   -0.335220   
     407  0.040000   0.030000   -0.332643   
     408  0.040000   0.040000   -0.327841   
     409  0.040000   0.050000   -0.320883   
     410  0.040000   0.060000   -0.311916   
     411  0.040000   0.070000   -0.301154   
     412  0.040000   0.080000   -0.288879   
     413  0.040000   0.090000   -0.275429   
     414  0.040000   0.100000   -0.261192   
     415  0.040000   0.110000   -0.246597   
     416  0.040000   0.120000   -0.232100   
     417  0.040000   0.130000   -0.218179   
     418  0.040000   0.140000   -0.205322   
     419  0.040000   0.150000   -0.194018   
     420  0.040000   0.160000   -0.184754   
     421  0.040000   0.170000   -0.178007   
     422  0.040000   0.180000   -0.174241   
     423  0.040000   0.190000   -0.173901   
     424  0.040000   0.200000   -0.177417   
     425  0.040000   0.210000   -0.185197   
     426  0.040000   0.220000   -0.197626   
     427  0.040000   0.230000   -0.215067   
     428  0.040000   0.240000   -0.237853   
     429  0.040000   0.250000   -0.266282   
     430  0.040000   0.260000   -0.300612   
     431  0.040000   0.270000   -0.341049   
     432  0.040000   0.280000   -0.387736   
     433  0.040000   0.290000   -0.440738   
     434  0.040000   0.300000   -0.500028   
     435  0.040000   0.310000   -0.565469   
     436  0.040000   0.320000   -0.636795   
     437  0.040000   0.330000   -0.713603   
     438  0.040000   0.340000   -0.795331   
     439  0.040000   0.350000   -0.881253   
     440  0.040000   0.360000   -0.970473   
     441  0.040000   0.370000   -1.061929   
     442  0.040000   0.380000   -1.154395   
     443  0.040000   0.390000   -1.246503   
     444  0.040000   0.400000   -1.336762   
     445  0.040000   0.410000   -1.423592   
     446  0.040000   0.420000   -1.505361   
     447  0.040000   0.430000   -1.580427   
     448  0.040000   0.440000   -1.647187   
     449  0.040000   0.450000   -1.704130   
     450  0.040000   0.460000   -1.749880   
     451  0.040000   0.470000   -1.783249   
     452  0.040000   0.480000   -1.803274   
     453  0.040000   0.490000   -1.809257   
     454  0.040000   0.500000   -1.800784   
     455  0.040000   0.510000   -1.777747   
     456  0.040000   0.520000   -1.740342   
     457  0.040000   0.530000   -1.689064   
     458  0.040000   0.540000   -1.624687   
     459  0.040000   0.550000   -1.548235   
     460  0.040000   0.560000   -1.460945   
     461  0.040000   0.570000   -1.364220   
     462  0.040000   0.580000   -1.259588   
     463  0.040000   0.590000   -1.148641   
     464  0.040000   0.600000   -1.032998   
     465  0.040000   0.610000   -0.914248   
     466  0.040000   0.620000   -0.793918   
     467  0.040000   0.630000   -0.673429   
     468  0.040000   0.640000   -0.554075   
     469  0.040000   0.650000   -0.437000   
     470  0.040000   0.660000   -0.323185   
     471  0.040000   0.670000   -0.213444   
